,crime_type,crime_category,date,address,y_lon,x_lat,neighborhood
242578,homicide-police-by-gun,murder,2021-10-20 12:26:00,1090 S PARKER RD,-104.8989515,39.6972284,windsor
242579,homicide-police-by-gun,murder,2019-08-15 23:42:00,1490 N PERRY ST,-105.038967,39.7400638,west-colfax
242580,homicide-police-by-gun,murder,2020-05-01 23:54:00,3200 BLK W 14TH AVE,-105.0294486,39.7394085,west-colfax
242581,homicide-negligent,murder,2018-05-17 07:00:00,3680 N JASMINE ST,-104.9185036,39.7689704,northeast-park-hill
242582,homicide-other,murder,2019-11-24 10:57:00,3600 BLK N ELM ST,-104.9290417,39.7679843,northeast-park-hill
242583,homicide-other,murder,2021-01-30 02:11:00,E 52ND AVE / N STEELE ST,-104.9499493,39.7910093,elyria-swansea
242584,homicide-other,murder,2021-04-18 16:11:00,,-104.8109131,39.7807655,montbello
242585,homicide-other,murder,2017-10-23 10:52:00,4930 E WARREN AVE,-104.9297023,39.6762782,goldsmith
242586,homicide-other,murder,2021-09-02 20:47:00,,-105.0249098,39.7522188,jefferson-park
242587,homicide-other,murder,2021-10-08 21:27:00,,-104.8098811,39.773188,montbello
242588,homicide-other,murder,2020-02-19 01:25:00,7585 E TECHNOLOGY WAY,-104.9035786,39.62906,hampden-south
242589,homicide-other,murder,2020-05-03 19:52:00,,-105.0211737,39.7321468,sun-valley
242590,homicide-other,murder,2021-11-20 22:40:00,4600 E 48TH AVE,-104.9344895,39.7827937,northeast-park-hill
242591,homicide-other,murder,2020-02-28 21:32:00,1600 BLK S FEDERAL BLVD,-105.0253234,39.6874373,mar-lee
242592,homicide-other,murder,2021-01-26 11:51:00,400 BLOCK S BROADWAY ST,-104.987213,39.7090147,washington-park-west
242593,homicide-other,murder,2020-01-23 12:38:00,,-104.8422406,39.7877309,montbello
242594,homicide-other,murder,2019-06-15 02:11:00,,-104.7701569,39.7850496,gateway-green-valley-ranch
242595,homicide-other,murder,2017-07-10 12:39:00,490 W COLFAX AVE,-104.9935737,39.7397729,civic-center
242596,homicide-other,murder,2020-06-07 07:23:00,1000 BLK N FEDERAL BLVD,-105.0253594,39.7341294,villa-park
242597,homicide-other,murder,2021-08-04 03:53:00,8100 BLK E 39TH AVE,-104.8918033,39.7716165,central-park
242598,homicide-other,murder,2020-11-04 04:16:00,3200 BLK N LOCUST ST,-104.9142441,39.7623058,northeast-park-hill
242599,homicide-other,murder,2021-11-10 22:27:00,1109 N WILLOW ST,-104.888538,39.7332096,east-colfax
242600,homicide-other,murder,2020-04-08 17:31:00,900 BLK S CLAY ST,-105.0206897,39.6989241,athmar-park
242601,homicide-other,murder,2017-04-01 21:21:00,6925 E 6TH AVE,-104.9072773,39.7259372,montclair
242602,homicide-other,murder,2017-07-01 02:23:00,2300 BLOCK E 29TH AVE,-104.9594379,39.75805,skyland
242603,homicide-other,murder,2021-01-31 06:00:00,8415 E COLFAX AVE,-104.8897052,39.7404523,east-colfax
242604,homicide-other,murder,2019-09-05 00:02:00,,-105.0255995,39.7633014,west-highland
242605,homicide-other,murder,2018-10-26 20:38:00,,-105.0317085,39.7007804,westwood
242606,homicide-other,murder,2017-04-03 14:15:00,2800 BLK ARAPAHOE ST,-104.9807882,39.7597164,five-points
242607,homicide-other,murder,2019-03-10 06:44:00,1500 BLOCK MARKET ST,-104.9992476,39.7489417,union-station
242608,homicide-other,murder,2021-06-10 17:21:00,3600 BLK MORRISON RD,-105.0360202,39.7087314,westwood
242609,homicide-other,murder,2020-09-06 21:39:00,N HAVANA ST / N FLORENCE WAY,-104.8659099,39.7623134,central-park
242610,homicide-other,murder,2021-11-14 21:10:00,1795 W MISSISSIPPI AVE,-105.0091419,39.6970618,athmar-park
242611,homicide-other,murder,2021-08-09 01:13:00,1200 W FLORIDA AVE,-105.0017374,39.6893274,ruby-hill
242612,homicide-other,murder,2018-12-22 22:29:00,1900 BLK E COLFAX AVE,-104.9638243,39.7402835,city-park-west
242613,homicide-other,murder,2020-04-25 00:10:00,,-104.774445,39.7946406,gateway-green-valley-ranch
242614,homicide-other,murder,2018-12-02 00:39:00,1559 N FILBERT CT,-104.9277484,39.7412062,south-park-hill
242615,homicide-other,murder,2021-11-14 19:56:00,,-104.8059542,39.7925108,gateway-green-valley-ranch
242616,homicide-other,murder,2019-04-11 09:20:00,,-105.0146461,39.7141138,valverde
242617,homicide-other,murder,2018-04-19 20:03:00,,-104.9559381,39.7681227,clayton
242618,homicide-other,murder,2020-12-28 11:23:00,950 N MONACO ST,-104.9119983,39.7314954,montclair
242619,homicide-other,murder,2017-10-01 08:22:00,S MONROE ST / E CHERRY CREEK N DR,-104.9449879,39.7097701,belcaro
242620,homicide-other,murder,2020-02-14 19:26:00,,-105.0251519,39.7380049,sun-valley
242621,homicide-other,murder,2020-08-01 02:03:00,,-105.0311298,39.7076084,westwood
242622,homicide-other,murder,2021-05-03 04:16:00,2777 N ZUNI ST,-105.0162845,39.7569494,highland
242623,homicide-other,murder,2019-02-22 03:19:00,1500 BLOCK N PERRY ST,-105.0392387,39.7409324,west-colfax
242624,homicide-other,murder,2021-08-11 05:15:00,4500 BLK E COLFAX AVE,-104.9348568,39.7403291,south-park-hill
242625,homicide-other,murder,2017-04-01 00:50:00,2135 STOUT ST,-104.9864733,39.7513189,five-points
242626,homicide-other,murder,2020-09-12 04:24:00,1540 N MEADE ST,-105.0354773,39.7413404,west-colfax
242627,homicide-other,murder,2021-05-20 00:56:00,N COLORADO BLVD / E COLFAX AVE,-104.9406654,39.740129,congress-park
242628,homicide-other,murder,2021-01-26 22:14:00,,-104.8025948,39.7946651,gateway-green-valley-ranch
242629,homicide-other,murder,2017-08-18 21:55:00,,-104.939732,39.7563629,north-park-hill
242630,homicide-other,murder,2021-09-18 02:19:00,E 40TH AVE / N STEELE ST,-104.9498245,39.7729039,clayton
242631,homicide-other,murder,2019-09-12 02:51:00,2726 N MADISON ST,-104.9461102,39.7562613,skyland
242632,homicide-other,murder,2020-06-27 22:12:00,,-104.9943608,39.7667292,globeville
242633,homicide-other,murder,2018-10-22 23:32:00,,-104.9785878,39.7542711,five-points
242634,homicide-other,murder,2020-09-06 18:27:00,,-105.0022578,39.7657663,highland
242635,homicide-other,murder,2019-10-13 21:47:00,,-105.0493076,39.7174005,barnum-west
242636,homicide-other,murder,2020-09-10 03:53:00,1700 BLK N QUINCE ST,-104.9025873,39.7443728,east-colfax
242637,homicide-other,murder,2020-05-02 14:48:00,200 E COLFAX AVE,-104.9845799,39.7398903,capitol-hill
242638,homicide-other,murder,2021-10-07 21:58:00,,-104.9819696,39.7413641,north-capitol-hill
242639,homicide-other,murder,2020-06-18 21:48:00,1500 BLOCK N VALENTIA ST,-104.8913627,39.7408232,east-colfax
242640,homicide-other,murder,2020-07-08 19:15:00,W 14TH AVE / N GROVE ST,-105.0265555,39.7381478,west-colfax
242641,homicide-other,murder,2019-10-03 18:09:00,1500 BLOCK N ST PAUL ST,-104.9511943,39.7410763,city-park
