DATE,CBBTCUSD
2021-11-04,61499.24
2021-11-05,61000.01
2021-11-06,61539.3
2021-11-07,63433.66
2021-11-08,67510.06
2021-11-09,66967.98
2021-11-10,64896.86
2021-11-11,64793.69
2021-11-12,64158.51
2021-11-13,64482.54
2021-11-14,65714.05
2021-11-15,63441.68
2021-11-16,60147.32
2021-11-17,60314.28
2021-11-18,57017.38
2021-11-19,58187.85
2021-11-20,59771.71
2021-11-21,58742.9
2021-11-22,56254.57
2021-11-23,57599.99
2021-11-24,57255.24
2021-11-25,59022.44
2021-11-26,53839.39
2021-11-27,54665.93
2021-11-28,57471.87
2021-11-29,57828.33
2021-11-30,56879.47
2021-12-01,57228.47
2021-12-02,56566.29
2021-12-03,53681.96
2021-12-04,49335.0
2021-12-05,49511.76
2021-12-06,50588.91
2021-12-07,50676.09
2021-12-08,50531.51
2021-12-09,47639.07
2021-12-10,47268.48
2021-12-11,49432.46
2021-12-12,50065.39
2021-12-13,46639.86
2021-12-14,48343.16
2021-12-15,48885.97
2021-12-16,47605.48
2021-12-17,46240.15
2021-12-18,46813.13
2021-12-19,46683.77
2021-12-20,46963.71
2021-12-21,48954.47
2021-12-22,48646.94
2021-12-23,50840.46
2021-12-24,50815.7
2021-12-25,50395.07
2021-12-26,50841.73
2021-12-27,50663.26
2021-12-28,47594.55
2021-12-29,46518.8
2021-12-30,47097.85
2021-12-31,46244.63
2022-01-01,47748.83
2022-01-02,47258.52
2022-01-03,46519.76
2022-01-04,45889.4
2022-01-05,43422.85
2022-01-06,43133.33
2022-01-07,41656.16
2022-01-08,41667.48
2022-01-09,41838.78
2022-01-10,41872.47
2022-01-11,42771.24
2022-01-12,43884.25
2022-01-13,42617.64
2022-01-14,43158.68
2022-01-15,43082.34
2022-01-16,43137.67
2022-01-17,42285.47
2022-01-18,42411.61
2022-01-19,41723.49
2022-01-20,40696.22
2022-01-21,36513.29
2022-01-22,35108.16
2022-01-23,36233.04
2022-01-24,36643.49
2022-01-25,36976.64
2022-01-26,36838.9
2022-01-27,37139.68
2022-01-28,37677.8
2022-01-29,38166.62
2022-01-30,37918.6
2022-01-31,38430.3
2022-02-01,38745.11
2022-02-02,36905.98
2022-02-03,37238.31
2022-02-04,41545.39
2022-02-05,41447.5
2022-02-06,42496.61
2022-02-07,43897.96
2022-02-08,44147.59
2022-02-09,44402.94
2022-02-10,43477.29
2022-02-11,42391.54
2022-02-12,42217.48
2022-02-13,42097.33
2022-02-14,42572.56
2022-02-15,44469.73
2022-02-16,43897.22
2022-02-17,40553.82
2022-02-18,39993.11
2022-02-19,40089.18
2022-02-20,38426.4
2022-02-21,37075.4
2022-02-22,38261.46
2022-02-23,37225.0
2022-02-24,38367.61
2022-02-25,39212.8
2022-02-26,39138.21
2022-02-27,37700.0
2022-02-28,43206.02
2022-03-01,44412.2
2022-03-02,43862.75
2022-03-03,42432.0
2022-03-04,39205.77
2022-03-05,39390.89
2022-03-06,38432.11
2022-03-07,38004.69
2022-03-08,38724.21
2022-03-09,41985.86
2022-03-10,39454.87
2022-03-11,38670.76
2022-03-12,38767.98
2022-03-13,37780.14
2022-03-14,39644.88
2022-03-15,39361.36
2022-03-16,41109.85
2022-03-17,40964.07
